year,month,day,data,median,LB,UB
2024,5,12,149,149,149,149
2024,5,19,138,113,91,137
2024,5,26,117,129,106,154
2024,6,2,153,142,117,168
2024,6,9,177,153,128,180
2024,6,16,93,163,138,190
2024,6,23,184,172,146,201
2024,6,30,215,180,154,208
2024,7,7,157,188,160,218
2024,7,14,145,195,167,226
2024,7,21,215,203,174,232
2024,7,28,259,209,179,239
2024,8,4,183,215,185,247
2024,8,11,234,221,190,254
2024,8,18,250,227,195,261
2024,8,25,NaN,232,199.5,267
2024,9,1,NaN,238,204,274.5
2024,9,8,NaN,242,208,279
2024,9,15,NaN,247,212,284
