month,day,data,median,LB,UB
4,14,162,162,162,162
4,21,0,83.4612889930486,-0,187.314327111403
4,28,159,103.398461457701,4.08735222595855,205.676744801025
5,5,137,123.071862035113,22.0811573703409,223.585939213467
5,12,149,138.427764588545,36.7162257579803,244.445866039647
5,19,138,150.43162570137,45.5681295854953,255.795342400155
5,26,117,152.074152040059,46.6262324835546,254.41520015253
6,2,153,145.699834122002,40.5257339455966,251.398087532715
6,9,177,135.515953422418,29.4310777788048,243.196243017288
6,16,93,119.760338376451,9.95891413085831,232.432733520183
6,23,NaN,102.753247221181,-0,230.094858640898
6,30,NaN,87.1106742203449,-0,226.252893198068
7,7,NaN,73.5751615830484,-0,228.474273808814
7,14,NaN,61.4690360366064,-0,231.17028362088
