Date,data,median,LB,UB
2024-04-28,19,13.77,9.04,18.51
2024-05-05,15,13.38,9.12,17.63
2024-05-12,8,12.98,9.18,16.79
2024-05-19,12,12.59,9.2,15.98
2024-05-26,0,12.19,9.16,15.22
2024-06-02,16,11.79,9.05,14.53
2024-06-09,19,11.4,8.84,13.95
2024-06-16,8,11,8.51,13.49
2024-06-23,14,10.6,8.05,13.16
2024-06-30,10,10.21,7.47,12.95
2024-07-07,9,9.81,6.78,12.84
2024-07-14,8,9.41,6.02,12.8
2024-07-21,12,9.02,5.21,12.82
2024-07-28,7,8.62,4.37,12.88
2024-08-04,8,8.22,3.49,12.96
2024-08-11,NA,7.83,2.59,13.06
2024-08-18,NA,7.43,1.69,13.18
2024-08-25,NA,7.04,0.76,13.31
2024-09-01,NA,6.64,0,13.44
