Date,data,median,LB,UB
2024-04-28,19,13.7,5.12,21.83
2024-05-05,15,13.3,3.8,22.32
2024-05-12,8,12.91,3.91,21.81
2024-05-19,12,12.52,3.33,21.05
2024-05-26,0,12.13,3.47,21.1
2024-06-02,16,11.73,3.1,20.2
2024-06-09,19,11.34,2.46,19.84
2024-06-16,8,10.95,1.99,19.43
2024-06-23,14,10.55,2.11,20.1
2024-06-30,10,10.16,1.14,19.19
2024-07-07,9,9.77,1.03,18.69
2024-07-14,8,9.38,0.95,17.55
2024-07-21,12,8.98,0,17.64
2024-07-28,7,8.59,0.17,18.07
2024-08-04,8,8.2,0,17.22
2024-08-11,NA,7.8,0,16.26
2024-08-18,NA,7.41,0,15.97
2024-08-25,NA,7.02,0,15.58
2024-09-01,NA,6.63,0,15.97
