Date,data,median,LB,UB
2024-04-21,0,10.69,4.9,16.48
2024-04-28,19,10.66,5.47,15.86
2024-05-05,15,10.64,6,15.27
2024-05-12,8,10.61,6.48,14.74
2024-05-19,12,10.58,6.89,14.28
2024-05-26,0,10.55,7.2,13.9
2024-06-02,16,10.52,7.39,13.65
2024-06-09,19,10.48,7.43,13.54
2024-06-16,8,10.45,7.32,13.58
2024-06-23,14,10.41,7.06,13.76
2024-06-30,10,10.37,6.67,14.06
2024-07-07,9,10.32,6.2,14.45
2024-07-14,8,10.28,5.65,14.91
2024-07-21,12,10.24,5.04,15.43
2024-07-28,7,10.19,4.4,15.98
2024-08-04,NA,10.15,3.72,16.57
2024-08-11,NA,10.1,3.02,17.18
2024-08-18,NA,10.06,2.3,17.81
2024-08-25,NA,10.01,1.57,18.45
