Date,data,median,LB,UB
2024-04-07,4,5.14,1.55,8.73
2024-04-14,6,5.39,2.16,8.62
2024-04-21,0,5.63,2.75,8.52
2024-04-28,2,5.88,3.31,8.45
2024-05-05,9,6.13,3.83,8.42
2024-05-12,12,6.37,4.29,8.45
2024-05-19,5,6.62,4.68,8.56
2024-05-26,11,6.87,4.98,8.75
2024-06-02,7,7.11,5.18,9.05
2024-06-09,11,7.36,5.28,9.44
2024-06-16,9,7.61,5.31,9.9
2024-06-23,11,7.85,5.28,10.42
2024-06-30,3,8.1,5.21,10.98
2024-07-07,9,8.35,5.12,11.57
2024-07-14,4,8.59,5,12.18
2024-07-21,NA,8.84,4.87,12.81
2024-07-28,NA,9.08,4.72,13.44
2024-08-04,NA,9.33,4.57,14.09
2024-08-11,NA,9.58,4.42,14.74
