Date,data,median,LB,UB
2024-05-12,25,21.6,8.76,34.44
2024-05-19,17,22.17,10.63,33.72
2024-05-26,12,22.74,12.42,33.06
2024-06-02,30,23.31,14.12,32.51
2024-06-09,45,23.89,15.67,32.1
2024-06-16,43,24.46,17.02,31.89
2024-06-23,20,25.03,18.1,31.95
2024-06-30,12,25.6,18.85,32.35
2024-07-07,24,26.17,19.25,33.1
2024-07-14,14,26.74,19.31,34.18
2024-07-21,11,27.31,19.1,35.53
2024-07-28,23,27.89,18.69,37.08
2024-08-04,19,28.46,18.14,38.78
2024-08-11,37,29.03,17.48,40.57
2024-08-18,52,29.6,16.76,42.44
2024-08-25,NA,30.17,15.97,44.37
2024-09-01,NA,30.74,15.15,46.33
2024-09-08,NA,31.31,14.31,48.32
2024-09-15,NA,31.89,13.43,50.34
