month,day,data,median,LB,UB
7,7,2,2,2,2
7,14,3,1,0,4
7,21,1,2,0,5
7,28,3,3,0,7
8,4,3,4,1,9
8,11,4,6,2,12
8,18,5,8,3,15
8,25,14,11,5,20
9,1,18,14,7,23
9,8,23,17,9,27
9,15,10,19,11,30
9,22,24,21,11,33
9,29,NaN,20,9,37
10,6,NaN,18,7,44
10,13,NaN,15,4,52
10,20,NaN,11.5,2,62.5
