year,month,day,data,median,LB,UB
2024,4,7,3,3,3,3
2024,4,14,2,1.55845849891169,-0,9.06435179855608
2024,4,21,0,1.87102408907703,-0,9.19173099890334
2024,4,28,2,2.19195087473756,-0,9.86394440404111
2024,5,5,6,2.64495769418203,-0,9.98380076201578
2024,5,12,6,2.98721966484838,-0,10.5320530595378
2024,5,19,1,3.49083097910961,-0,11.044828378236
2024,5,26,2,4.03758456866486,-0,11.8258207838818
2024,6,2,0,4.73363319650936,-0,12.6607543913528
2024,6,9,10,5.47718276686115,-0,14.4583561681075
2024,6,16,NaN,6.45939938205198,-0,16.6293670799175
2024,6,23,NaN,7.32367916623329,-0,20.5743743192061
2024,6,30,NaN,8.39470614277085,-0,25.5993382998998
2024,7,7,NaN,9.46301847722511,-0,33.7062369899664
