month,day,data,median,LB,UB
4,7,3,3,3,3
4,14,2,1.6931951278827,-0,9.10071195659406
4,21,0,1.95218583595569,-0,9.19582851717331
4,28,2,2.26635070070722,-0,9.6392574945733
5,5,6,2.62891532850601,-0,10.0337378995493
5,12,6,3.11570242395382,-0,10.6412096258989
5,19,1,3.57795838014919,-0,11.1990969680312
5,26,2,4.08991294055003,-0,11.7870857014318
6,2,0,4.78654528458617,-0,12.7067330477982
6,9,10,5.49729859850973,-0,14.0385023265396
6,16,NaN,6.44833295441629,-0,16.2710005139835
6,23,NaN,7.40380411032601,-0,19.9402866781767
6,30,NaN,8.53481805814781,-0,25.4294875098763
7,7,NaN,9.56336896745938,-0,32.5324308552127
