"Date","US(CDC)"
2023-12-31,24
2024-01-07,12
2024-01-14,30
2024-01-21,22
2024-01-28,20
2024-02-04,20
2024-02-11,21
2024-02-18,16
2024-02-25,0
2024-03-03,29
2024-03-10,36
2024-03-17,35
2024-03-24,17
2024-03-31,21
2024-04-07,15
2024-04-14,36
2024-04-21,0
2024-04-28,21
2024-05-05,30
2024-05-12,25
2024-05-19,17
2024-05-26,12
2024-06-02,30
2024-06-09,45
2024-06-16,43
2024-06-23,20
2024-06-30,12
2024-07-07,24
2024-07-14,14
2024-07-21,11
2024-07-28,23
