Date,data,median,LB,UB
2024-06-23,184,171.36,132.99,209.74
2024-06-30,215,179.79,147.25,212.34
2024-07-07,157,188.22,160.85,215.6
2024-07-14,145,196.65,173.36,219.95
2024-07-21,215,205.08,184.13,226.04
2024-07-28,259,213.52,192.56,234.47
2024-08-04,183,221.95,198.65,245.24
2024-08-11,234,230.38,203,257.75
2024-08-18,250,238.81,206.26,271.35
2024-08-25,251,247.24,208.86,285.61
2024-09-01,NA,255.67,211.06,300.27
2024-09-08,NA,264.1,213.01,315.18
2024-09-15,NA,272.53,214.79,330.26
2024-09-22,NA,280.96,216.46,345.46
