Date,data,median,LB,UB
2024-04-14,6,6,6,6
2024-04-21,0,3.835937816,0,11.27809329
2024-04-28,2,4.936813318,0,12.53322319
2024-05-05,9,6.19955918,0,13.83041253
2024-05-12,12,7.633003666,0.105758388,15.32452514
2024-05-19,5,8.644242142,1.101113932,16.28173125
2024-05-26,11,9.391755716,1.753082107,17.15080021
2024-06-02,7,9.670822076,2.178139835,17.12046293
2024-06-09,11,9.459070133,1.888392611,17.06444864
2024-06-16,9,8.871388181,0.637825697,17.48765626
2024-06-23,NaN,7.991412908,0,18.20838517
2024-06-30,NaN,7.019459796,0,20.33061098
2024-07-07,NaN,6.235320493,0,23.08981252
2024-07-14,NaN,5.198111995,0,25.54483013
