year,month,day,data,median,LB,UB
2024,5,19,138,138,138,138
2024,5,26,117,115,93,140
2024,6,2,153,132,108,158
2024,6,9,177,147,121,173
2024,6,16,93,159,132,186
2024,6,23,184,170,144,197
2024,6,30,215,180,154,208
2024,7,7,157,189,162,218
2024,7,14,145,198,169,227
2024,7,21,215,206,176,236
2024,7,28,259,213,184,244
2024,8,4,183,220,190,251
2024,8,11,234,226,195,259
2024,8,18,250,233,202,266
2024,8,25,251,240,206.5,274
2024,9,1,NaN,245,213,282
2024,9,8,NaN,251,217,290
2024,9,15,NaN,257,222,296
2024,9,22,NaN,262,226,303
