Date,data,median,LB,UB
2024-06-30,1,0.59,0,2.12
2024-07-07,0,0.67,0,2.22
2024-07-14,0,0.76,0,2.36
2024-07-21,2,0.84,0,2.28
2024-07-28,0,0.92,0,2.53
2024-08-04,1,1,0,2.47
2024-08-11,2,1.08,0,2.69
2024-08-18,1,1.16,0,2.79
2024-08-25,2,1.24,0,2.85
2024-09-01,2,1.32,0,2.91
2024-09-08,0,1.4,0,2.99
2024-09-15,NA,1.48,0,3.06
2024-09-22,NA,1.56,0,3.21
2024-09-29,NA,1.64,0.02,3.15
2024-10-06,NA,1.72,0.18,3.27
