month,day,data,median,LB,UB
4,28,2,2,2,2
5,5,6,3.93755981586274,-0,13.7517907962694
5,12,6,4.38811720609928,-0,13.1395615426852
5,19,1,4.14845142918238,-0,13.0465669848461
5,26,2,4.00239390932656,-0,12.5633867841633
6,2,0,3.73846782707317,-0,12.0824991960938
6,9,10,3.57775661155188,-0,11.8641233349994
6,16,3,3.13766795666122,-0,11.9923944547205
6,23,3,3.01373535367329,-0,12.1706020712424
6,30,NaN,2.60686480692644,-0,12.8550027060243
7,7,NaN,2.49764686273631,-0,15.0110894870989
7,14,NaN,2.36692678171937,-0,18.3302595902341
7,21,NaN,2.22618504087086,-0,24.4996412850861
