Date,data,median,LB,UB
2024-04-21,0,4,0,8.54
2024-04-28,2,4.66,0.58,8.74
2024-05-05,9,5.31,1.67,8.96
2024-05-12,12,5.97,2.72,9.22
2024-05-19,5,6.63,3.73,9.53
2024-05-26,11,7.29,4.66,9.91
2024-06-02,7,7.94,5.5,10.39
2024-06-09,11,8.6,6.22,10.98
2024-06-16,9,9.26,6.81,11.7
2024-06-23,11,9.91,7.29,12.54
2024-06-30,3,10.57,7.67,13.47
2024-07-07,9,11.23,7.98,14.48
2024-07-14,4,11.89,8.24,15.53
2024-07-21,15,12.54,8.46,16.62
2024-07-28,21,13.2,8.66,17.74
2024-08-04,NA,13.86,8.84,18.88
2024-08-11,NA,14.51,9,20.02
2024-08-18,NA,15.17,9.16,21.18
2024-08-25,NA,15.83,9.31,22.35
