month,day,data,median,LB,UB
4,14,6,6,6,6
4,21,0,3.7924920682288,-0,11.1624270672577
4,28,2,4.8867739662366,-0,12.4106015925727
5,5,9,6.21725254710744,-0,13.9352306135067
5,12,12,7.57592753093359,0.09421151625906,15.4186463224369
5,19,5,8.62476200328157,1.00595712079246,16.0519710697223
5,26,11,9.42106878001063,1.936121571584,16.9894773565344
6,2,7,9.57012146939561,2.05804560828721,16.9720520646172
6,9,11,9.37133061150804,1.59092115867572,17.076937668517
6,16,9,8.79672907503383,0.515970118061729,17.131858262475
6,23,NaN,7.94031331888265,-0,17.6779196694309
6,30,NaN,6.88860683995789,-0,18.8027019740096
7,7,NaN,6.0589235464917,-0,20.5506930957569
7,14,NaN,5.02120078573079,-0,22.2192581012171
