year,month,day,data,median,LB,UB
2024,3,31,91,91,91,91
2024,4,7,122,99,78,121.5
2024,4,14,162,110,88,134
2024,4,21,0,119,97,142
2024,4,28,159,126,104,150
2024,5,5,137,132,110,156
2024,5,12,149,137,114,162
2024,5,19,138,142,119,166
2024,5,26,117,146,123,172
2024,6,2,153,150,126,176
2024,6,9,177,154,129,179
2024,6,16,93,157,132,184
2024,6,23,184,160,134,188
2024,6,30,215,163,137,191
2024,7,7,157,166,139,195
2024,7,14,NaN,168,140,198
2024,7,21,NaN,171,142,201
2024,7,28,NaN,173,144,203
2024,8,4,NaN,176,147,207
