Date,data,median,LB,UB
2024-04-07,3,2.52,0,5.1
2024-04-14,2,2.61,0.3,4.92
2024-04-21,0,2.7,0.64,4.76
2024-04-28,2,2.79,0.96,4.63
2024-05-05,6,2.88,1.24,4.52
2024-05-12,6,2.97,1.47,4.47
2024-05-19,1,3.06,1.66,4.46
2024-05-26,2,3.14,1.78,4.51
2024-06-02,0,3.23,1.83,4.63
2024-06-09,10,3.31,1.82,4.81
2024-06-16,3,3.4,1.75,5.04
2024-06-23,3,3.48,1.64,5.31
2024-06-30,2,3.56,1.5,5.62
2024-07-07,4,3.64,1.33,5.95
2024-07-14,3,3.72,1.13,6.3
2024-07-21,NA,3.8,0.92,6.68
2024-07-28,NA,3.88,0.7,7.06
2024-08-04,NA,3.96,0.46,7.46
2024-08-11,NA,4.04,0.22,7.86
