Date,data,median,LB,UB
2024-05-12,149,122.23,61.87,182.92
2024-05-19,138,130.19,70.87,197.63
2024-05-26,117,138.15,75.79,205.49
2024-06-02,153,146.1,79.64,210.49
2024-06-09,177,154.06,93.29,213.34
2024-06-16,93,162.01,99.65,221.38
2024-06-23,184,169.97,107.3,232.77
2024-06-30,215,177.92,116.64,240.23
2024-07-07,157,185.88,120.01,252.12
2024-07-14,145,193.84,129.46,257.64
2024-07-21,215,201.79,139.56,263.21
2024-07-28,259,209.75,150.09,271.68
2024-08-04,183,217.7,154.46,284.11
2024-08-11,234,225.66,161.04,287.24
2024-08-18,250,233.61,169.44,299.96
2024-08-25,NA,241.57,179.61,305.8
2024-09-01,NA,249.53,189.54,308.33
2024-09-08,NA,257.48,199.61,321.27
2024-09-15,NA,265.44,203.49,325.82
