Date,data,median,LB,UB
2024-05-25,342,251.61,138.94,364.28
2024-06-01,322,299.91,198.64,401.18
2024-06-08,308,348.22,257.71,438.73
2024-06-15,360,396.52,315.87,477.16
2024-06-22,419,444.82,372.78,516.87
2024-06-29,417,493.13,427.92,558.34
2024-07-06,463,541.43,480.69,602.17
2024-07-13,500,589.73,530.56,648.91
2024-07-20,609,638.04,577.3,698.78
2024-07-27,743,686.34,621.13,751.55
2024-08-03,891,734.64,662.6,806.69
2024-08-10,971,782.95,702.3,863.59
2024-08-17,936,831.25,740.74,921.76
2024-08-24,902,879.55,778.28,980.83
2024-08-31,663,927.86,815.19,1040.53
2024-09-07,NA,976.16,851.63,1100.7
2024-09-14,NA,1024.47,887.73,1161.21
2024-09-21,NA,1072.77,923.56,1221.97
2024-09-28,NA,1121.07,959.2,1282.94
