Date,data,median,LB,UB
2024-05-25,342,339.14,296.98,381.3
2024-06-01,322,317.67,286.9,348.45
2024-06-08,308,324.8,294.37,355.24
2024-06-15,360,359.84,329.02,390.66
2024-06-22,419,398.45,369.41,427.5
2024-06-29,417,427.83,397.73,457.93
2024-07-06,463,455.37,424.86,485.87
2024-07-13,500,510.97,482.07,539.88
2024-07-20,609,611.68,581.17,642.18
2024-07-27,743,749.78,719.68,779.88
2024-08-03,891,880.78,851.73,909.83
2024-08-10,971,961.61,930.8,992.43
2024-08-17,936,959.62,929.19,990.06
2024-08-24,902,862.45,831.68,893.23
2024-08-31,663,685.99,643.83,728.15
2024-09-07,NA,481.82,384.21,579.43
2024-09-14,NA,277.65,115.26,440.03
2024-09-21,NA,73.47,0,302.17
2024-09-28,NA,0,0,164.81
