Date,data,median,LB,UB
2024-05-25,342,251.71,39.7,454.64
2024-06-01,322,299.99,89.79,511.69
2024-06-08,308,348.28,130.97,556.68
2024-06-15,360,396.57,187.23,600.22
2024-06-22,419,444.86,246.53,656.21
2024-06-29,417,493.15,286.19,705.75
2024-07-06,463,541.43,327.32,743.27
2024-07-13,500,589.72,374.56,796.56
2024-07-20,609,638.01,432.95,857.02
2024-07-27,743,686.3,474.54,909.78
2024-08-03,891,734.59,531.69,950.21
2024-08-10,971,782.87,564.99,1003.61
2024-08-17,936,831.16,621.79,1026.55
2024-08-24,902,879.45,684.8,1086.11
2024-08-31,663,927.74,721.44,1135.23
2024-09-07,NA,976.03,778.92,1189.29
2024-09-14,NA,1024.32,829.55,1231.64
2024-09-21,NA,1072.6,856.05,1282.04
2024-09-28,NA,1120.89,907.45,1331.87
