Date,data,median,LB,UB
2024-06-30,215,171.69,138.15,205.24
2024-07-07,157,181.79,152.5,211.09
2024-07-14,145,191.9,166.5,217.29
2024-07-21,215,202,179.98,224.01
2024-07-28,259,212.1,192.66,231.54
2024-08-04,183,222.2,204.18,240.22
2024-08-11,234,232.3,214.28,250.32
2024-08-18,250,242.4,222.96,261.84
2024-08-25,251,252.5,230.49,274.52
2024-09-01,234,262.6,237.21,288
2024-09-08,292,272.71,243.41,302
2024-09-15,292,282.81,249.26,316.35
2024-09-22,NA,292.91,254.89,330.93
2024-09-29,NA,303.01,260.36,345.66
2024-10-06,NA,313.11,265.72,360.5
2024-10-13,NA,323.21,271,375.43
