Date,data,median,LB,UB
2024-06-30,215,171.81,117.47,230.43
2024-07-07,157,181.9,126.14,239.15
2024-07-14,145,192,134.23,248.61
2024-07-21,215,202.09,148.42,255.47
2024-07-28,259,212.18,161.45,265.71
2024-08-04,183,222.28,164.1,275.47
2024-08-11,234,232.37,177.57,287.42
2024-08-18,250,242.46,187.01,296.7
2024-08-25,251,252.56,196.06,309.31
2024-09-01,234,262.65,206.39,316.21
2024-09-08,292,272.74,216.35,327.26
2024-09-15,292,282.83,224.89,345.54
2024-09-22,NA,292.93,231.59,355.54
2024-09-29,NA,303.02,246.41,358.21
2024-10-06,NA,313.11,256.44,373.11
2024-10-13,NA,323.21,266.96,372.78
