Date,data,median,LB,UB
2024-04-07,122,105.05,48.38,161.73
2024-04-14,162,110.91,62.84,158.97
2024-04-21,0,116.76,76.34,157.19
2024-04-28,159,122.62,88.22,157.02
2024-05-05,137,128.47,97.52,159.42
2024-05-12,149,134.33,103.38,165.28
2024-05-19,138,140.18,105.78,174.58
2024-05-26,117,146.04,105.61,186.46
2024-06-02,153,151.89,103.83,199.96
2024-06-09,177,157.75,101.07,214.42
2024-06-16,NA,163.6,97.73,229.47
2024-06-23,NA,169.45,94.01,244.89
2024-06-30,NA,175.31,90.05,260.57
2024-07-07,NA,181.16,85.92,276.41
