Date,data,median,LB,UB
2024-04-21,0,92.94,8.42,172.9
2024-04-28,159,101.33,11.1,189.4
2024-05-05,137,109.72,17.67,190.28
2024-05-12,149,118.1,25.62,201.38
2024-05-19,138,126.49,42.84,213.14
2024-05-26,117,134.88,52.5,218.48
2024-06-02,153,143.27,58.16,228.99
2024-06-09,177,151.65,61.11,237.99
2024-06-16,93,160.04,75.69,246.49
2024-06-23,184,168.43,83.59,255.19
2024-06-30,NA,176.82,97.17,266.29
2024-07-07,NA,185.2,102.69,275.7
2024-07-14,NA,193.59,110.59,277.49
2024-07-21,NA,201.98,123.18,285.69
