Date,data,median,LB,UB
2024-05-26,12,25.5,1.47,48.13
2024-06-02,30,25.47,0.15,49.2
2024-06-09,45,25.43,0,50.66
2024-06-16,43,25.4,0.68,49.8
2024-06-23,20,25.37,1.43,50.02
2024-06-30,12,25.33,0,51.8
2024-07-07,24,25.3,0.73,51.39
2024-07-14,14,25.26,0,49.87
2024-07-21,11,25.23,1.09,50.55
2024-07-28,23,25.19,0,49.32
2024-08-04,19,25.16,0,50.28
2024-08-11,37,25.13,1.11,50.47
2024-08-18,52,25.09,0.25,48.47
2024-08-25,22,25.06,0,50.4
2024-09-01,15,25.02,0.5,52.2
2024-09-08,NA,24.99,0.08,49
2024-09-15,NA,24.96,0,49.88
2024-09-22,NA,24.92,0,50.12
2024-09-29,NA,24.89,1.2,49.08
