Date,data,median,LB,UB
2024-05-12,12,8.86,3.37,14.34
2024-05-19,5,8.66,4.34,12.98
2024-05-26,11,8.5,4.89,12.11
2024-06-02,7,8.4,5.11,11.69
2024-06-09,11,8.38,5.19,11.56
2024-06-16,9,8.47,5.29,11.66
2024-06-23,11,8.73,5.53,11.93
2024-06-30,3,9.22,6.01,12.42
2024-07-07,9,9.99,6.79,13.19
2024-07-14,4,11.06,7.88,14.24
2024-07-21,15,12.39,9.21,15.57
2024-07-28,21,13.89,10.61,17.18
2024-08-04,10,15.49,11.88,19.1
2024-08-11,21,17.14,12.82,21.46
2024-08-18,19,18.82,13.33,24.3
2024-08-25,NA,20.5,13.46,27.54
2024-09-01,NA,22.18,13.4,30.97
2024-09-08,NA,23.86,13.23,34.5
2024-09-15,NA,25.55,13.01,38.08
